序号,记录时间,位置_x(m),位置_y(m),位置_z(m),姿态_x,姿态_y,姿态_z,姿态_w,坐标系_frame_id
1,2025-11-18 20:52:09.864,1.472,-5.47,0.0,0.0,0.0,0.6737,0.739,map
2,2025-11-18 20:52:27.363,2.134,-4.051,0.0,0.0,0.0,0.1438,0.9896,map
3,2025-11-18 20:52:45.127,3.01,-2.91,0.0,0.0,0.0,0.7236,0.6902,map
4,2025-11-18 20:52:57.575,3.505,-0.082,0.0,0.0,0.0,0.7043,0.7099,map
5,2025-11-18 20:53:20.386,3.414,1.975,0.0,0.0,0.0,0.6777,0.7354,map
6,2025-11-18 20:53:40.131,3.596,5.24,0.0,0.0,0.0,-1.0,0.0011,map
7,2025-11-18 20:54:12.977,3.195,2.318,0.0,0.0,0.0,-0.9998,0.0206,map
