序号,记录时间,位置_x(m),位置_y(m),位置_z(m),姿态_x,姿态_y,姿态_z,姿态_w,坐标系_frame_id
1,2025-11-18 21:53:44.014,-2.717,4.991,0.0,0.0,0.0,-0.7049,0.7093,map
2,2025-11-18 21:54:27.506,-2.776,2.194,0.0,0.0,0.0,-0.7006,0.7136,map
3,2025-11-18 21:54:52.254,-0.109,-7.076,0.0,0.0,0.0,-0.7007,0.7135,map
